Store ID,Product ID,Category,Inventory Level,Recent_Demand_7d_avg,Predicted_Demand_Horizon,Stock_Risk,Recommended_Order_Qty,Recommendation
S001,P0003,Toys,69,191.0,110.6,HIGH,121.0,Reorder
S001,P0010,Furniture,167,146.0,258.8,HIGH,203.0,Reorder
S001,P0016,Electronics,74,146.1,113.7,HIGH,140.0,Reorder
S002,P0004,Toys,133,126.4,202.8,HIGH,152.0,Reorder
S002,P0007,Toys,53,156.4,104.0,HIGH,176.0,Reorder
S002,P0009,Electronics,62,165.4,104.0,HIGH,164.0,Reorder
S003,P0007,Electronics,108,180.9,168.2,HIGH,152.0,Reorder
S002,P0018,Groceries,151,171.9,239.3,HIGH,211.0,Reorder
S003,P0012,Clothing,108,99.6,168.2,HIGH,125.0,Reorder
S003,P0011,Toys,137,149.7,202.8,HIGH,159.0,Reorder
S004,P0002,Furniture,181,166.6,267.6,HIGH,194.0,Reorder
S004,P0004,Furniture,105,101.7,157.2,HIGH,129.0,Reorder
S003,P0003,Groceries,112,158.7,169.8,HIGH,152.0,Reorder
S003,P0008,Furniture,103,119.9,157.2,HIGH,114.0,Reorder
S004,P0012,Clothing,85,143.1,139.4,HIGH,124.0,Reorder
S004,P0007,Electronics,134,149.7,202.8,HIGH,162.0,Reorder
S004,P0013,Electronics,113,125.4,175.0,HIGH,164.0,Reorder
S004,P0015,Toys,56,82.0,104.0,HIGH,94.0,Reorder
S004,P0018,Toys,83,86.4,139.4,HIGH,121.0,Reorder
S005,P0020,Groceries,117,119.3,175.0,HIGH,131.0,Reorder
S005,P0003,Furniture,98,191.1,157.2,HIGH,140.0,Reorder
S005,P0007,Groceries,59,126.1,104.0,HIGH,110.0,Reorder
S005,P0016,Furniture,96,87.6,153.4,HIGH,149.0,Reorder
S004,P0019,Clothing,65,129.4,108.9,HIGH,146.0,Reorder
S004,P0009,Clothing,115,143.7,175.0,HIGH,108.0,Reorder
S004,P0011,Groceries,155,165.7,239.3,HIGH,175.0,Reorder
S004,P0017,Electronics,100,195.6,157.2,HIGH,160.0,Reorder
S002,P0008,Furniture,218,148.9,312.8,MEDIUM,209.0,Monitor
S002,P0012,Electronics,193,126.6,292.2,MEDIUM,169.0,Monitor
S002,P0002,Groceries,364,133.7,542.9,MEDIUM,301.0,Monitor
S001,P0007,Clothing,256,171.1,389.1,MEDIUM,229.0,Monitor
S001,P0001,Toys,223,88.4,336.1,MEDIUM,172.0,Monitor
S004,P0003,Furniture,419,141.6,615.2,MEDIUM,294.0,Monitor
S003,P0005,Electronics,411,159.7,615.7,MEDIUM,296.0,Monitor
S003,P0002,Groceries,388,250.4,561.9,MEDIUM,228.0,Monitor
S003,P0006,Furniture,451,193.9,716.6,MEDIUM,348.0,Monitor
S003,P0016,Furniture,166,140.3,258.8,MEDIUM,205.0,Monitor
S003,P0017,Clothing,239,145.7,347.2,MEDIUM,180.0,Monitor
S003,P0015,Clothing,270,162.6,411.0,MEDIUM,236.0,Monitor
S003,P0014,Electronics,230,177.6,339.4,MEDIUM,188.0,Monitor
S003,P0004,Groceries,415,176.7,612.5,MEDIUM,280.0,Monitor
S002,P0020,Groceries,284,201.4,437.4,MEDIUM,266.0,Monitor
S002,P0017,Toys,236,151.1,347.0,MEDIUM,234.0,Monitor
S003,P0001,Clothing,138,82.1,202.8,MEDIUM,147.0,Monitor
S002,P0019,Furniture,409,189.1,614.5,MEDIUM,314.0,Monitor
S002,P0013,Electronics,472,163.1,718.1,MEDIUM,327.0,Monitor
S002,P0016,Toys,258,135.0,391.2,MEDIUM,230.0,Monitor
S002,P0014,Clothing,342,119.4,515.6,MEDIUM,240.0,Monitor
S003,P0019,Electronics,253,139.4,383.7,MEDIUM,228.0,Monitor
S004,P0006,Toys,364,160.9,555.6,MEDIUM,294.0,Monitor
S004,P0020,Toys,249,122.6,363.9,MEDIUM,155.0,Monitor
S002,P0006,Toys,160,124.0,244.9,MEDIUM,147.0,Monitor
S002,P0011,Groceries,156,80.7,239.3,MEDIUM,151.0,Monitor
S002,P0001,Clothing,415,215.6,593.1,MEDIUM,273.0,Monitor
S001,P0019,Clothing,149,115.7,224.8,MEDIUM,120.0,Monitor
S001,P0018,Electronics,191,76.3,292.2,MEDIUM,159.0,Monitor
S001,P0014,Groceries,293,137.0,454.2,MEDIUM,245.0,Monitor
S001,P0013,Groceries,356,124.9,523.3,MEDIUM,219.0,Monitor
S001,P0009,Electronics,167,109.3,258.8,MEDIUM,146.0,Monitor
S001,P0020,Electronics,242,117.4,363.5,MEDIUM,208.0,Monitor
S001,P0017,Toys,282,151.6,421.9,MEDIUM,242.0,Monitor
S001,P0012,Electronics,213,176.1,304.8,MEDIUM,195.0,Monitor
S001,P0004,Groceries,338,159.4,502.0,MEDIUM,263.0,Monitor
S001,P0008,Electronics,315,149.1,473.7,MEDIUM,234.0,Monitor
S005,P0013,Electronics,389,197.4,606.5,MEDIUM,296.0,Monitor
S005,P0009,Furniture,319,129.1,477.4,MEDIUM,239.0,Monitor
S004,P0016,Clothing,314,135.4,462.0,MEDIUM,202.0,Monitor
S005,P0002,Groceries,253,199.1,385.8,MEDIUM,223.0,Monitor
S005,P0004,Toys,158,120.9,244.9,MEDIUM,150.0,Monitor
S005,P0005,Toys,372,228.4,552.3,MEDIUM,331.0,Monitor
S005,P0006,Furniture,491,186.7,742.9,MEDIUM,396.0,Monitor
S005,P0001,Toys,300,106.1,456.7,MEDIUM,243.0,Monitor
S005,P0011,Groceries,156,107.1,239.3,MEDIUM,189.0,Monitor
S005,P0018,Clothing,278,95.4,402.9,MEDIUM,237.0,Monitor
S005,P0017,Toys,313,135.0,463.5,MEDIUM,193.0,Monitor
S004,P0008,Furniture,390,182.7,597.4,MEDIUM,331.0,Monitor
S005,P0019,Toys,374,137.1,553.7,MEDIUM,291.0,Monitor
S004,P0005,Toys,217,119.9,312.8,MEDIUM,164.0,Monitor
S002,P0005,Toys,464,154.0,687.6,LOW,339.0,No immediate reorder
S002,P0003,Clothing,372,61.6,573.7,LOW,234.0,No immediate reorder
S004,P0001,Electronics,497,114.1,783.7,LOW,384.0,No immediate reorder
S003,P0020,Groceries,417,85.7,626.3,LOW,289.0,No immediate reorder
S003,P0018,Electronics,375,62.6,597.3,LOW,302.0,No immediate reorder
S003,P0013,Groceries,388,112.6,606.7,LOW,307.0,No immediate reorder
S003,P0009,Furniture,496,158.0,785.9,LOW,361.0,No immediate reorder
S003,P0010,Furniture,413,100.6,621.3,LOW,265.0,No immediate reorder
S002,P0015,Toys,433,79.9,644.3,LOW,265.0,No immediate reorder
S002,P0010,Toys,419,141.0,620.0,LOW,330.0,No immediate reorder
S001,P0015,Electronics,356,95.6,525.5,LOW,233.0,No immediate reorder
S001,P0011,Electronics,449,147.9,664.9,LOW,297.0,No immediate reorder
S001,P0006,Electronics,305,74.1,462.2,LOW,197.0,No immediate reorder
S001,P0005,Groceries,471,155.3,701.0,LOW,365.0,No immediate reorder
S001,P0002,Furniture,217,69.3,312.8,LOW,146.0,No immediate reorder
S004,P0010,Toys,382,111.7,551.4,LOW,240.0,No immediate reorder
S004,P0014,Furniture,386,109.0,567.0,LOW,243.0,No immediate reorder
S005,P0008,Electronics,409,123.6,626.3,LOW,309.0,No immediate reorder
S005,P0015,Furniture,408,104.9,622.6,LOW,315.0,No immediate reorder
S005,P0014,Toys,328,98.7,475.1,LOW,227.0,No immediate reorder
S005,P0010,Toys,308,101.0,448.5,LOW,201.0,No immediate reorder
S005,P0012,Electronics,495,72.4,781.8,LOW,343.0,No immediate reorder
